pico_time_s,node,esp_time_s,dist_cm
8539.035000,B,150.685760,9.175
8539.091000,A,212.423376,11.559
8539.156000,A,212.515360,8.644
8539.220000,A,212.561200,7.752
8539.843000,A,213.325280,26.703
8539.972000,A,213.551400,29.755
8540.253000,A,213.823020,6.586
8540.308000,B,152.160020,6.380
8540.368000,A,213.868960,4.836
8540.490000,B,152.204910,16.927
8540.558000,A,213.914440,4.562
8540.626000,B,152.249970,6.963
8540.690000,A,213.959920,4.545
8540.756000,B,152.386440,5.968
8540.818000,B,152.430900,6.448
8540.881000,B,152.519670,15.709
8540.942000,B,152.564660,19.551
8541.008000,B,152.654740,14.766
8541.075000,B,152.699690,20.631
8541.136000,A,214.465180,4.545
8541.199000,B,152.833740,19.191
8541.993000,A,215.542768,9.518
8542.111000,A,215.588820,6.294
8542.171000,B,153.906450,17.922
8542.235000,A,215.634632,4.836
8542.306000,B,153.951660,4.991
8542.372000,B,153.995840,5.728
8542.436000,A,215.769532,3.379
8542.502000,B,154.128960,5.848
8542.564000,A,215.906240,3.361
8542.631000,B,154.262960,6.688
8542.698000,A,216.042768,3.379
8542.766000,A,216.088340,3.379
8542.833000,B,154.440640,5.591
8542.902000,A,216.227940,3.361
8543.029000,A,216.319080,3.379
8543.095000,A,216.364620,3.379
8543.162000,A,216.455760,4.270
8543.224000,B,154.793880,5.488
8543.286000,B,154.927290,6.311
8543.349000,B,154.971760,22.192
8544.349000,A,217.806600,9.227
8544.413000,A,217.852880,5.419
8544.483000,B,156.134170,19.602
8544.551000,B,156.179440,6.911
8544.620000,A,217.943800,7.460
8544.687000,B,156.313620,6.809
8544.755000,A,218.078860,4.253
8544.873000,B,156.447050,5.900
8544.950000,B,156.491500,5.539
8545.022000,B,156.580520,5.968
8545.091000,B,156.668990,5.488
8545.164000,B,156.713410,5.951
8545.237000,A,218.537300,10.702
8545.308000,A,218.629260,9.793
8545.375000,A,218.675260,9.810
8545.446000,A,218.766980,5.711
8545.551000,A,218.857940,5.728
8545.602000,A,218.903600,4.853
8545.680000,A,219.219300,29.755
8546.499000,A,220.070068,9.227
8546.606000,B,158.364540,15.589
8546.651000,A,220.116300,6.311
8546.698000,B,158.409580,7.512
8546.745000,B,158.453920,18.831
8546.794000,B,158.498900,13.205
8546.843000,B,158.543560,5.111
8546.893000,B,158.587760,5.539
8546.945000,B,158.632180,5.608
8547.001000,A,220.391640,2.881
8547.056000,B,158.721380,16.721
8547.108000,A,220.482784,4.853
8547.160000,A,220.528500,4.819
8547.210000,B,158.900640,6.740
8547.312000,B,158.944920,6.311
8547.365000,B,158.989180,6.328
8547.414000,A,220.756280,4.853
8547.464000,A,220.801460,4.836
8547.516000,B,159.213520,5.299
8547.568000,B,159.257700,6.740
8548.650000,A,222.167100,9.501
8548.701000,A,222.215216,5.128
8548.755000,B,160.509640,8.112
8548.808000,A,222.260960,6.020
8548.864000,B,160.554440,6.311
8548.917000,A,222.306620,4.545
8548.966000,A,222.352340,6.586
8549.086000,B,160.687480,6.003
8549.137000,B,160.776460,6.431
8549.191000,B,160.820740,6.020
8549.250000,B,160.865190,6.020
8549.302000,A,222.671360,4.853
8549.357000,B,161.042710,6.894
8549.410000,B,161.087300,6.088
8549.463000,B,161.131840,6.054
8549.516000,A,222.899940,5.711
8549.568000,A,222.945640,4.853
8549.621000,B,161.311220,7.752
8549.678000,B,161.355780,6.980
8549.733000,B,161.400280,6.311
8549.981000,A,223.355400,29.258
8550.092000,A,223.671220,29.481
8550.273000,A,223.852620,28.984
8550.596000,A,224.079216,5.711
8550.655000,B,162.383000,14.097
8550.711000,A,224.126720,3.344
8550.775000,B,162.428190,5.214
8550.835000,A,224.218224,3.962
8550.896000,A,224.263820,4.819
8550.952000,A,224.309520,3.962
8551.007000,B,162.648820,5.248
8551.064000,B,162.737220,5.231
8551.123000,B,162.781400,5.248
8551.241000,A,224.536940,3.945
8551.299000,B,162.914980,4.819
8551.362000,B,162.959350,4.802
8551.421000,B,163.003880,4.888
8551.477000,B,163.137040,5.454
8551.537000,B,163.182570,5.882
8551.596000,A,224.949600,6.311
8551.653000,A,224.995360,4.545
8551.716000,B,163.360550,6.363
8551.776000,A,225.131852,4.545
8551.837000,B,163.493500,6.363
8551.896000,B,163.537760,6.311
8551.956000,A,225.314500,5.437
8552.066000,A,225.360140,5.402
8552.124000,B,163.715240,5.814
8552.182000,A,225.498352,4.253
8552.250000,A,225.544052,4.253
8552.316000,A,225.680768,4.236
8552.381000,A,225.728220,4.253
8552.445000,A,225.773660,4.270
8552.511000,A,225.864800,4.253
8552.570000,A,225.910400,4.270
8552.629000,A,226.001800,4.253
8552.689000,A,226.047468,5.128
8552.753000,B,164.388280,3.310
8552.819000,A,226.183868,5.728
8553.462000,A,226.944260,14.629
8553.770000,A,227.306060,7.477
8553.829000,A,227.352200,6.020
8553.888000,B,165.681900,7.580
8553.949000,A,227.399040,6.020
8554.017000,B,165.726520,20.734
8554.086000,A,227.444720,5.728
8554.154000,B,165.771620,16.498
8554.216000,A,227.535540,6.603
8554.281000,B,165.905740,7.220
8554.347000,A,227.673940,4.545
8554.408000,A,227.719540,5.728
8554.473000,A,227.810660,4.562
8554.587000,B,166.172520,6.311
8554.654000,A,227.947560,4.562
8554.720000,A,227.993220,4.528
8554.786000,B,166.352140,6.448
8554.855000,A,228.175232,6.003
8554.923000,A,228.266540,5.419
8554.988000,A,228.312500,4.562
